INFO: Best makespan -156734,37 in Generation 154

mai 26, 2022 7:26:31 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 155

mai 26, 2022 7:26:34 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 156

mai 26, 2022 7:26:36 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 157

mai 26, 2022 7:26:39 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 158

mai 26, 2022 7:26:41 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 159

mai 26, 2022 7:26:44 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 160

mai 26, 2022 7:26:47 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 161

mai 26, 2022 7:26:49 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 162

mai 26, 2022 7:26:52 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 163

mai 26, 2022 7:26:55 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 164

mai 26, 2022 7:26:58 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 165

mai 26, 2022 7:27:02 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 166

mai 26, 2022 7:27:05 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 167

mai 26, 2022 7:27:10 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 168

mai 26, 2022 7:27:16 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 169

mai 26, 2022 7:27:21 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 170

mai 26, 2022 7:27:28 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 171

mai 26, 2022 7:27:33 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 172

mai 26, 2022 7:27:37 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 173

mai 26, 2022 7:27:41 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 174

mai 26, 2022 7:27:48 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 175

mai 26, 2022 7:27:54 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 176

mai 26, 2022 7:27:58 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 177

mai 26, 2022 7:28:01 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 178

mai 26, 2022 7:28:05 PM LocalSearch.Main main
INFO: Best makespan -156734,37 in Generation 179

mai 26, 2022 7:28:09 PM LocalSearch.Main main
